codigo_ocorrencia,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
46577,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,172M,C172,PISTÃO,MONOMOTOR,4.0,1974.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,LEVE,0
46576,***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,52.0,1996.0,BRASIL,REGULAR,Aeroporto Regional do Vale do Aço,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,DECOLAGEM,REGULAR,NENHUM,0
46575,REGULAR,AVIÃO,BOEING COMPANY,737-3Y0,B733,JATO,BIMOTOR,156.0,1988.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,REGULAR,NENHUM,0
46574,REGULAR,AVIÃO,BOEING COMPANY,737-3Y0,B733,JATO,BIMOTOR,156.0,1988.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
46573,***,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,2.0,1993.0,BRASIL,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
46572,***,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,6.0,2001.0,BRASIL,PARTICULAR,BACACHERI,JUVENAL LOUREIRO CARDOSO,POUSO,PRIVADA,SUBSTANCIAL,0
46571,EXPERIMENTAL,ULTRALEVE,***,FOX VECTOR V6,ULAC,PISTÃO,MONOMOTOR,2.0,2008.0,BRASIL,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,EXPERIMENTAL,DESTRUÍDA,1
46570,***,AVIÃO,CESSNA AIRCRAFT,525B,C25B,JATO,BIMOTOR,10.0,2007.0,BRASIL,TÁXI AÉREO,HERCÍLIO LUZ,CONGONHAS,POUSO,TÁXI AÉREO,SUBSTANCIAL,0
46569,***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,P32R,PISTÃO,MONOMOTOR,7.0,1977.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
46568,***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1.0,1985.0,BRASIL,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
46567,***,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,6.0,2010.0,BRASIL,PARTICULAR,SÃO SEBASTIÃO DO PARAÍSO,COMANDANTE PASCHOAL PATROCÍNIO FILHO,TÁXI,PRIVADA,SUBSTANCIAL,0
46566,***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,6.0,1988.0,BRASIL,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,SUBSTANCIAL,0
46565,***,AVIÃO,AEROMOT,AMT-200SO,RF10,PISTÃO,MONOMOTOR,2.0,2007.0,BRASIL,ADMINISTRAÇÃO DIRETA,TEIXEIRA DE FREITAS,TEIXEIRA DE FREITAS,POUSO,POLICIAL,SUBSTANCIAL,0
46564,***,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,2.0,1981.0,BRASIL,INSTRUÇÃO,AERÓDROMO NACIONAL DE AVIAÇÃO,AERÓDROMO NACIONAL DE AVIAÇÃO,ARREMETIDA NO AR,INSTRUÇÃO,SUBSTANCIAL,0
46563,PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-31,PA31,PISTÃO,BIMOTOR,8.0,1974.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
46562,AGRÍCOLA,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1.0,1977.0,BRASIL,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,AGRÍCOLA,DESTRUÍDA,0
46561,PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 BA,AS50,TURBOEIXO,MONOMOTOR,6.0,1993.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,LEVE,0
46523,PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-32R-301T,PA32,PISTÃO,MONOMOTOR,6.0,2005.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,LEVE,0
46522,PARTICULAR,AVIÃO,PILATUS,PC-12,PC12,TURBOÉLICE,MONOMOTOR,10.0,2010.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
46521,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,2.0,1980.0,BRASIL,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,INSTRUÇÃO,NENHUM,0
46520,TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,560,C560,JATO,BIMOTOR,11.0,1990.0,BRASIL,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,NENHUM,0
46519,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2010.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
46518,REGULAR,AVIÃO,LET AIRCRAFT INDUSTRIES,L410UVP-E20,L410,TURBOÉLICE,BIMOTOR,21.0,2006.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,LEVE,0
46517,INSTRUÇÃO,AVIÃO,DIAMOND AIRCRAFT,DA20-C1,DV20,PISTÃO,MONOMOTOR,2.0,2011.0,BRASIL,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,NENHUM,0
46516,REGULAR,AVIÃO,BOEING COMPANY,737-7BX,B737,JATO,BIMOTOR,154.0,2001.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
46515,TÁXI AÉREO,AVIÃO,DASSAULT AVIATION,FALCON 2000EX,F2TH,JATO,BIMOTOR,13.0,2007.0,BRASIL,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,TÁXI AÉREO,LEVE,0
46514,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,150J,C150,PISTÃO,MONOMOTOR,2.0,1969.0,BRASIL,INSTRUÇÃO,FORA DE AERODROMO,TERUEL IPANEMA ESTÂNCIA,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0
46513,***,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,6.0,1973.0,BRASIL,TÁXI AÉREO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,BREVES,POUSO,TÁXI AÉREO,SUBSTANCIAL,0
46512,PARTICULAR,AVIÃO,BEECH AIRCRAFT,D55,BE55,PISTÃO,BIMOTOR,6.0,1968.0,BRASIL,PARTICULAR,VERA CRUZ,BARTOLOMEU DE GUSMÃO,CRUZEIRO,PRIVADA,LEVE,0
46499,***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,4.0,1981.0,BRASIL,PARTICULAR,TITO TEIXEIRA,CAMPINA VERDE,DESCIDA,PRIVADA,SUBSTANCIAL,0
46498,***,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,4.0,2009.0,BRASIL,MÚLTIPLA,SENADOR NILO COELHO,FORA DE AERODROMO,CRUZEIRO,NÃO REGULAR,SUBSTANCIAL,0
46497,***,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,2.0,1995.0,BRASIL,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0
46496,***,HELICÓPTERO,HELIBRAS,HB-350B,AS50,TURBOEIXO,MONOMOTOR,6.0,1989.0,BRASIL,PARTICULAR,SOROCABA,CIA. BRASILEIRA DE ALUMÍNIO,POUSO,PRIVADA,SUBSTANCIAL,0
46495,PARTICULAR,AVIÃO,RAYTHEON AIRCRAFT,400A,BE40,JATO,BIMOTOR,10.0,2006.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,PRIVADA,NENHUM,0
46487,TÁXI AÉREO,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,10.0,1978.0,BRASIL,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,NENHUM,0
46486,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,525B,C25B,JATO,BIMOTOR,10.0,2009.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
46485,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-320,AT43,TURBOÉLICE,BIMOTOR,50.0,1994.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
46484,PARTICULAR,AVIÃO,PILATUS,PC-12/47E,PC12,TURBOÉLICE,MONOMOTOR,10.0,2008.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,NENHUM,0
46481,ESPECIALIZADA,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,6.0,1987.0,BRASIL,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,ESPECIALIZADA,NENHUM,0
46480,PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,6.0,1979.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
46479,REGULAR,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,113.0,2009.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0
46478,REGULAR,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,113.0,2009.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
46477,TÁXI AÉREO,HELICÓPTERO,EUROCOPTER FRANCE,AS 355 N,AS55,TURBOEIXO,BIMOTOR,6.0,1997.0,BRASIL,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,NENHUM,0
46476,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A319-115,A319,JATO,BIMOTOR,141.0,2010.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,REGULAR,LEVE,0
46475,ADMINISTRAÇÃO DIRETA,HELICÓPTERO,EUROCOPTER FRANCE,EC 120 B,EC20,TURBOEIXO,MONOMOTOR,5.0,2002.0,BRASIL,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,POLICIAL,NENHUM,0
46474,PARTICULAR,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,6.0,1983.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,NENHUM,0
46473,PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,6.0,1980.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
46472,***,AVIÃO,RAYTHEON AIRCRAFT,400A,BE40,JATO,BIMOTOR,10.0,2004.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,NENHUM,0
46471,PARTICULAR,HELICÓPTERO,SIKORSKY AIRCRAFT,S-61N,S61,TURBOEIXO,BIMOTOR,21.0,1972.0,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,PRIVADA,NENHUM,0
46456,TÁXI AÉREO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,7.0,1983.0,BRASIL,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,NENHUM,0
46455,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,TURBOEIXO,BIMOTOR,125.0,2010.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0
46454,***,AVIÃO,CESSNA AIRCRAFT,152,***,PISTÃO,MONOMOTOR,0.0,1980.0,ESTADOS UNIDOS,***,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,***,SUBSTANCIAL,0
46453,REGULAR,AVIÃO,BOEING COMPANY,737-36Q,B733,JATO,BIMOTOR,156.0,1997.0,BRASIL,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,REGULAR,LEVE,0
46452,INSTRUÇÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,4.0,1989.0,BRASIL,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,INSTRUÇÃO,NENHUM,0
46451,***,AVIÃO,PIPER AIRCRAFT,PA-31T,PAY2,TURBOÉLICE,BIMOTOR,7.0,1981.0,BRASIL,PARTICULAR,SANTOS DUMONT,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,POUSO,PRIVADA,NENHUM,0
46450,***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721D,P32R,PISTÃO,MONOMOTOR,6.0,1981.0,BRASIL,PARTICULAR,MANICORÉ,BORBA,POUSO,PRIVADA,SUBSTANCIAL,0
