codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_tipo,localizacao
36415,INCIDENTE,LONDRINA,PR,17/07/2008,11:45:00,1,NÃO,PERDA DE CONTROLE EM VOO,LONDRINA - PR
36401,INCIDENTE,PORTO ALEGRE,RS,15/07/2008,16:00:00,1,NÃO,FALHA DO MOTOR EM VOO,PORTO ALEGRE - RS
36400,INCIDENTE,PORTO ALEGRE,RS,26/07/2008,16:30:00,1,NÃO,COLISÃO COM AVE,PORTO ALEGRE - RS
36398,INCIDENTE,CRICIÚMA,SC,25/07/2008,20:30:00,1,NÃO,OUTROS,CRICIÚMA - SC
36396,INCIDENTE,CURITIBA,PR,24/07/2008,10:38:00,1,NÃO,FALHA DO MOTOR EM VOO,CURITIBA - PR
36395,INCIDENTE,CURITIBA,PR,24/07/2008,16:30:00,1,NÃO,ESTOURO DE PNEU,CURITIBA - PR
36377,INCIDENTE,ALTAMIRA,PA,21/02/2008,19:17:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ALTAMIRA - PA
36376,INCIDENTE,CURITIBA,PR,15/09/2008,18:30:00,1,NÃO,COM PARA-BRISAS / JANELA / PORTA,CURITIBA - PR
36375,INCIDENTE,MACAPÁ,AP,28/02/2008,14:45:00,1,NÃO,POUSO SEM TREM,MACAPÁ - AP
36374,INCIDENTE,MANAUS,AM,06/10/2008,23:17:00,1,NÃO,ESTOURO DE PNEU,MANAUS - AM
36373,INCIDENTE GRAVE,MANAUS,AM,05/09/2008,15:30:00,1,NÃO,OUTROS,MANAUS - AM
36372,INCIDENTE,SANTARÉM,PA,03/04/2008,17:11:00,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SANTARÉM - PA
36371,INCIDENTE,NOVA OLINDA DO NORTE,AM,17/07/2008,14:10:00,1,SIM,COM TREM DE POUSO,NOVA OLINDA DO NORTE - AM
36370,INCIDENTE,NÃO IDENTIFICADA,MA,25/05/2008,15:42:00,1,NÃO,POUSO BRUSCO,NÃO IDENTIFICADA - MA
36369,INCIDENTE,COARI,AM,01/06/2008,14:40:00,1,NÃO,FALHA DO MOTOR EM VOO,COARI - AM
36368,INCIDENTE,BELÉM,PA,25/07/2008,14:15:00,1,NÃO,POUSO SEM TREM,BELÉM - PA
36367,INCIDENTE,RIO BRANCO,AC,10/05/2008,14:08:00,1,NÃO,COM TREM DE POUSO,RIO BRANCO - AC
